"","Sample","text"
"33",3,"Only recently started following #TidyTuesday so went back through the archives and couldn't resist when I saw an #NFL dataset. Realised the data was flawed after plotting though when I saw no 2000 yard season for CJ2k. #rstats https://t.co/CEM0pCi1fO"
"34",3,"#TidyTuesday 2019 W17
Is there a relation between score and popularity??
code:https://t.co/3MOiNiEGfR
Any feedback is welcome!
#Rstats #DataViz https://t.co/B6yLiJ7xKo"
"35",3,"This week I looked at the effect Easter has on US births. (next step: find out how to adjust for day of week effect) <U+0001F430>

code: https://t.co/5B4mq4JhoH

#TidyTuesday #rstats #R4DS #dataviz https://t.co/lU0Vx5aXW5"
"36",3,"My second #TidyTuesday submission!  I played around with different colors, fonts, annotations, and more.  It was a blast! @R4DScommunity Code:  https://t.co/rGAH369FZD https://t.co/Qc32qMdklN"
"37",3,"#TidyTuesday Where is the best ramen? <U+0001F35C><U+0001F35C><U+0001F35C>
(2nd position France????? <U+0001F631><U+0001F631><U+0001F631><U+0001F631>)

 #ggplot2 #rstat #R4DS #ramen #PhDlife
@R4DScommunity @rstudio @rstats4ds 

Scroll down to the next tweet to see the animation by style of container <U+0001F4CA> https://t.co/VJrGazn1A9"
"38",3,"I finally did it - I have a personal homepage <U+0001F973>
In the future, I am going to blog about #ecology, #science and #dataviz, sharing #rstats packages, code snippets and tutorials and of course thoughts and insights on the #TidyTuesday contributions <U+0001F913>

https://t.co/7MEZEIDt8a https://t.co/X4ra2mtB0Y"
"39",3,"Plotted just the longitude and latitude values and found an outlier (-1.94617, 354.47333) #TidyTuesday. It looks like a meteorite found on Mars has sneaked in (? @NASA) the dataset. It's Meridiani Planum, aka Heat Shield Rock.
https://t.co/Q7hlSMAFN9 https://t.co/r4VHianMQT"
"40",3,"First submission ever for #tidytuesday. Spent too much time tweaking the graph but couldn't help it!

code: https://t.co/XbPhhBRTir https://t.co/SAky2r5JeL"
"41",3,"Evolution of a map for #TidyTuesday #rstats code here: https://t.co/14o2gaZdzv https://t.co/lS7YNTF6uV"
"42",3,"Squeezing in a #tidytuesday dataset during lunch for games on Steam since 2005 (note: y-axis horribly not to scale)
Additional analysis required with revenue data but it appears Big Fish Games is all about that super niche long tail market
#rstats code: https://t.co/bqP6CoKbNV https://t.co/KXQ4mQkqw4"
"43",3,"#TidyTuesday Blog post! Here's my final graph.  #rstats https://t.co/sCM4Th9aAH https://t.co/IP7TvLommL"
"44",3,"#TidyTuesday contribution 2019/20: Nobel prize winners, data provided by @kaggle and the @NobelPrize 

No line plot was the premise - had to take a break to think about a different way of visualization and this is what came out of it <U+0001F481><U+200D><U+2642><U+FE0F>

#rstats #tidyverse #ggplot2 #r4ds #dataviz https://t.co/5K8Gop6kpU"
"45",3,"Voronoi tesselation of ~random pixels from one of Bob Ross paintings :)

As learned from @chisatini's wonderful blog <U+0001F64C> https://t.co/FczvMDtxfK (yes, for the second time <U+0001F62C><U+0001F601>)

<U+0001F5BC><U+FE0F>: https://t.co/6OJgRGUtv1
<U+0001F468><U+200D><U+0001F4BB>: https://t.co/nZvcQ9jvDh

 Happy #TidyTuesday <U+0001F917> https://t.co/bWtmCeFJ7P"
"46",3,"For this #TidyTuesday, a look at diversity in U.S. counties (with apologies to Puerto Rico). Many counties are primarily White and we see large Hispanic and Asian pop'ns in the West/SW, Black pop'ns in the South/NE, Native Amer. in MT, SD, ND &amp; AK, and Pac. Islanders in Hawaii. https://t.co/ssm8FAijLD"
"47",3,"It seems Singapore produce the top rated Instant Ramen #tidytuesday #rstats #r4ds #datascience #dataviz https://t.co/G19H1R5kvc"
"48",3,"#TidyTuesday week 10 with #ggmap #glue #lubridate, and new to #patchwork. Themes from @dylanjm_ds https://t.co/xK10cyspUU https://t.co/VriEG5EbYX"
"49",3,"#TidyTuesday I was curious about the concentration of coffee-chains in markets that included these 3 major chains. I defined markets by zip and used HHI's to calculate concentration. &gt;1500 is quite high though I am ignoring other coffee shops, etc. https://t.co/tQH45PMyRf https://t.co/ER66KqgETU"
"50",3,"It has definitely been a while. #TidyTuesday week 28 contribution. Playing around with coord_polar for the first time! #rstats #r4ds #tidyverse #ggplot2 https://t.co/qVO3LORrVS"
