"","Sample","text"
"1",1,"A continuación algunos de nuestros favoritos. Al final, nuestro aporte al #TidyTuesday de hoy.  
Sobre la mediana de ingreso por profesión ponderando la distribución de género:
https://t.co/TsfZIIa5Cl https://t.co/N0xgc6W1Gs"
"2",1,"It's #TidyTuesday y'all! https://t.co/63KbCwkE5L"
"3",1,"Haven't had a chance to try the #tidytuesday this week yet? Don't worry @drob has posted another screencast so you can just watch him do it! #rstats https://t.co/8Zmau5Go07"
"4",1,"I am so impressed with what people can create with these #TidyTuesday datasets. <U+0001F92F><U+0001F44F> https://t.co/T7lHmDMcIs"
"5",1,"Whoa.  10 dplyr tricks for #tidytuesday.  Click through to the @WeAreRLadies profile for all 10! https://t.co/rHe9Qh7fBm"
"6",1,"@R4DScommunity @rstats4ds #TidyTuesday This week’s  tidy Tuesday visualizations are all for a urgent and immediate cause !! 
#NoPlastic
@thomas_mock https://t.co/uIJPEXAX8u"
"7",1,"Chicago Bird Collisions for #TidyTuesday. I was close to giving up, but @thomas_mock's Grand Slam plot (https://t.co/2rEFQuHnON) saved the day and I learned a ton! <U+0001F64F>

code: https://t.co/qZ9i2gqCce https://t.co/0u1K1dWvK4"
"8",1,"For this week's #TidyTuesday a topic which (almost) everyone can relate to. Proost! <U+0001F377> https://t.co/k4sU8PapOi"
"9",1,"Now used to fct_lump <U+0001F64F> to @drob . I always learn sth when watching his  #TidyTuesday screencast. #rstats #viz https://t.co/Y1eJ4MREPa"
"10",1,"Awesome analyses @drob 
#TidyTuesday #DataScience #rstats #DataAnalytics https://t.co/bgQQ6g96Kx"
"11",1,"#TidyTuesday week 20 is live! https://t.co/fV6UfPqZ3E"
"12",1,"Thanks for sharing! #TidyTuesday https://t.co/8IgBaWPuP5"
"13",1,"Sara continues to do awesome deep dives on the #tidytuesday datasets! Lots of great content here and on her GitHub. https://t.co/EYxV9ERGDz"
"14",1,"This concept was what led to the #TidyTuesday project! 

<U+2714><U+FE0F> Starter packs of tame data to use!
<U+2714><U+FE0F> Community to interact and learn from!
<U+2714><U+FE0F> Articles for context! https://t.co/AbKJ1btWn5"
"15",1,"reminder to self to clean this up a bit and submit it to #tidytuesday. also a reminder for someone else to hassle me about this if i don't do it. https://t.co/EhW9hsoaaQ"
